STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,indic_bt,Business trend indicator,nace_r2,Statistical classification of economic activities in the European Community (NACE Rev. 2),s_adj,Seasonal adjustment,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:STS_TRTU_M(1.0),Turnover and volume of sales in wholesale and retail trade - monthly data,M,Monthly,VOL_SLS,Volume of sales,G47,"Retail trade, except of motor vehicles and motorcycles",SCA,Seasonally and calendar adjusted data,PCH_PRE,Percentage change on previous period,AL,Albania,2009-05,,1.0,,,,,
dataflow,ESTAT:STS_TRTU_M(1.0),Turnover and volume of sales in wholesale and retail trade - monthly data,M,Monthly,VOL_SLS,Volume of sales,G47,"Retail trade, except of motor vehicles and motorcycles",SCA,Seasonally and calendar adjusted data,PCH_PRE,Percentage change on previous period,AL,Albania,2009-06,,-0.2,,,,,
dataflow,ESTAT:STS_TRTU_M(1.0),Turnover and volume of sales in wholesale and retail trade - monthly data,M,Monthly,VOL_SLS,Volume of sales,G47,"Retail trade, except of motor vehicles and motorcycles",SCA,Seasonally and calendar adjusted data,PCH_PRE,Percentage change on previous period,AL,Albania,2009-07,,-1.9,,,,,
dataflow,ESTAT:STS_TRTU_M(1.0),Turnover and volume of sales in wholesale and retail trade - monthly data,M,Monthly,VOL_SLS,Volume of sales,G47,"Retail trade, except of motor vehicles and motorcycles",SCA,Seasonally and calendar adjusted data,PCH_PRE,Percentage change on previous period,AL,Albania,2009-08,,-1.3,,,,,
dataflow,ESTAT:STS_TRTU_M(1.0),Turnover and volume of sales in wholesale and retail trade - monthly data,M,Monthly,VOL_SLS,Volume of sales,G47,"Retail trade, except of motor vehicles and motorcycles",SCA,Seasonally and calendar adjusted data,PCH_PRE,Percentage change on previous period,AL,Albania,2009-09,,0.0,,,,,
dataflow,ESTAT:STS_TRTU_M(1.0),Turnover and volume of sales in wholesale and retail trade - monthly data,M,Monthly,VOL_SLS,Volume of sales,G47,"Retail trade, except of motor vehicles and motorcycles",SCA,Seasonally and calendar adjusted data,PCH_PRE,Percentage change on previous period,AL,Albania,2009-10,,-4.4,,,,,
dataflow,ESTAT:STS_TRTU_M(1.0),Turnover and volume of sales in wholesale and retail trade - monthly data,M,Monthly,VOL_SLS,Volume of sales,G47,"Retail trade, except of motor vehicles and motorcycles",SCA,Seasonally and calendar adjusted data,PCH_PRE,Percentage change on previous period,AL,Albania,2009-11,,1.9,,,,,
dataflow,ESTAT:STS_TRTU_M(1.0),Turnover and volume of sales in wholesale and retail trade - monthly data,M,Monthly,VOL_SLS,Volume of sales,G47,"Retail trade, except of motor vehicles and motorcycles",SCA,Seasonally and calendar adjusted data,PCH_PRE,Percentage change on previous period,AL,Albania,2009-12,,6.3,,,,,
dataflow,ESTAT:STS_TRTU_M(1.0),Turnover and volume of sales in wholesale and retail trade - monthly data,M,Monthly,VOL_SLS,Volume of sales,G47,"Retail trade, except of motor vehicles and motorcycles",SCA,Seasonally and calendar adjusted data,PCH_PRE,Percentage change on previous period,AL,Albania,2010-01,,3.3,,,,,
dataflow,ESTAT:STS_TRTU_M(1.0),Turnover and volume of sales in wholesale and retail trade - monthly data,M,Monthly,VOL_SLS,Volume of sales,G47,"Retail trade, except of motor vehicles and motorcycles",SCA,Seasonally and calendar adjusted data,PCH_PRE,Percentage change on previous period,AL,Albania,2010-02,,0.8,,,,,
dataflow,ESTAT:STS_TRTU_M(1.0),Turnover and volume of sales in wholesale and retail trade - monthly data,M,Monthly,VOL_SLS,Volume of sales,G47,"Retail trade, except of motor vehicles and motorcycles",SCA,Seasonally and calendar adjusted data,PCH_PRE,Percentage change on previous period,AL,Albania,2010-03,,2.9,,,,,
dataflow,ESTAT:STS_TRTU_M(1.0),Turnover and volume of sales in wholesale and retail trade - monthly data,M,Monthly,VOL_SLS,Volume of sales,G47,"Retail trade, except of motor vehicles and motorcycles",SCA,Seasonally and calendar adjusted data,PCH_PRE,Percentage change on previous period,AL,Albania,2010-04,,-5.1,,,,,
dataflow,ESTAT:STS_TRTU_M(1.0),Turnover and volume of sales in wholesale and retail trade - monthly data,M,Monthly,VOL_SLS,Volume of sales,G47,"Retail trade, except of motor vehicles and motorcycles",SCA,Seasonally and calendar adjusted data,PCH_PRE,Percentage change on previous period,AL,Albania,2010-05,,4.2,,,,,
